,Weight,Feature
34,0.0,K562_ChIP.seq_CHD1_ENCFF002CEK.bed
35,0.0,K562_ChIP.seq_EZH2_ENCFF002CEM.bed
36,0.0,K562_ChIP.seq_HDAC1_ENCFF002CEN.bed
37,0.0,K562_ChIP.seq_HDAC2_ENCFF002CEO.bed
38,0.0,K562_ChIP.seq_PHF8_ENCFF002CER.bed
39,0.0,K562_ChIP.seq_RBBP5_ENCFF002CEU.bed
40,0.0,K562_ChIP.seq_SAP30_ENCFF002CEV.bed
41,0.0,H1.hESC_ChIP.seq_CHD1_ENCFF002CDR.bed
42,0.0,H1.hESC_ChIP.seq_KDM5A_ENCFF002CDU.bed
43,0.0,DND.41_ChIP.seq_CTCF_ENCFF002CDN.bed
44,0.0,GM12878_ChIP.seq_EZH2_ENCFF002CDQ.bed
45,0.0,mammary_epithelial_cell_ChIP.seq_EZH2_ENCFF002CEC.bed
46,0.0,skeletal_muscle_myoblast_ChIP.seq_EZH2_ENCFF002CEE.bed
47,0.0,HepG2_ChIP.seq_EZH2_ENCFF002CEA.bed
48,0.0,keratinocyte_ChIP.seq_EZH2_ENCFF002CFB.bed
49,0.0,fibroblast_of_lung_ChIP.seq_EZH2_ENCFF002CFE.bed
50,0.0,astrocyte_ChIP.seq_EZH2_ENCFF002CEX.bed
51,0.0,fibroblast_of_dermis_ChIP.seq_EZH2_ENCFF002CEZ.bed
52,0.0,DND.41_ChIP.seq_EZH2_ENCFF002CDO.bed
53,0.0,H1.hESC_ChIP.seq_EZH2_ENCFF002CDT.bed
54,0.0,myotube_ChIP.seq_EZH2_ENCFF002CEG.bed
55,0.0,endothelial_cell_of_umbilical_vein_ChIP.seq_EZH2_ENCFF002CEI.bed
56,0.0,HeLa.S3_ChIP.seq_EZH2_ENCFF002CDX.bed
57,0.0,K562_ChIP.seq_HDAC6_ENCFF002CEP.bed
58,0.243868715582,H1.hESC_ChIP.seq_PHF8_ENCFF001SVL.bed
59,0.0,K562_ChIP.seq_CHD4_ENCFF001SYY.bed
60,-0.137862311168,K562_ChIP.seq_REST_ENCFF001TAA.bed
61,0.131877611661,CD14.positive_monocyte_ChIP.seq_CTCF_ENCFF001TAH.bed
62,0.0,H1.hESC_ChIP.seq_HDAC6_ENCFF001SVH.bed
63,-0.101041758045,H1.hESC_ChIP.seq_SAP30_ENCFF001SVN.bed
64,-0.0979555890457,H1.hESC_ChIP.seq_SUZ12_ENCFF001SVQ.bed
65,-0.00867288522697,K562_ChIP.seq_CREBBP_ENCFF001SYU.bed
66,0.0,K562_ChIP.seq_CBX2_ENCFF001SYV.bed
67,0.0,K562_ChIP.seq_CBX3_ENCFF001SYW.bed
68,-0.541541109471,K562_ChIP.seq_CBX8_ENCFF001SYX.bed
69,0.0961562103883,K562_ChIP.seq_KDM1A_ENCFF001SZS.bed
70,0.307035186301,K562_ChIP.seq_NCOR1_ENCFF001SZT.bed
71,-0.0276921812166,K562_ChIP.seq_KAT2B_ENCFF001SZW.bed
72,0.0,K562_ChIP.seq_RNF2_ENCFF001TAC.bed
73,0.0,K562_ChIP.seq_SIRT6_ENCFF001TAE.bed
74,0.110409569151,K562_ChIP.seq_SUZ12_ENCFF001TAG.bed
75,0.0,osteoblast_ChIP.seq_EP300_ENCFF001TCZ.bed
76,0.444001071044,A549_ChIP.seq_CTCF_ENCFF001SSN.bed
77,0.138524145507,A549_ChIP.seq_CTCF_ENCFF001SSO.bed
78,0.0,B_cell_ChIP.seq_H3K27ac_ENCFF001STM.bed
79,0.0,H1.hESC_ChIP.seq_EP300_ENCFF001SVK.bed
80,0.0,H1.hESC_ChIP.seq_KDM5B_ENCFF001SVM.bed
81,0.472177893118,H1.hESC_ChIP.seq_SIRT6_ENCFF001SVP.bed
82,0.0468915002455,K562_ChIP.seq_SETDB1_ENCFF001TAD.bed
83,-0.506212882004,B_cell_ChIP.seq_CTCF_ENCFF001STI.bed
84,0.0,B_cell_ChIP.seq_H2AFZ_ENCFF001STJ.bed
85,0.0,B_cell_ChIP.seq_H3K4me2_ENCFF001STK.bed
86,0.0,B_cell_ChIP.seq_EZH2_ENCFF001STL.bed
87,-0.125343782426,H1.hESC_ChIP.seq_CHD7_ENCFF001SUS.bed
88,0.0,H1.hESC_ChIP.seq_HDAC2_ENCFF001SVG.bed
89,0.0,H1.hESC_ChIP.seq_KDM4A_ENCFF001SVJ.bed
90,0.0,K562_ChIP.seq_CHD7_ENCFF001SYZ.bed
91,0.0,K562_ChIP.seq_WHSC1_ENCFF001SZU.bed
92,0.28989884186,B_cell_ChIP.seq_H4K20me1_ENCFF001STN.bed
93,0.374131675292,PFSK.1_ChIP.seq_FOXP2_ENCFF002CND.bed
94,0.0,SK.N.MC_ChIP.seq_FOXP2_ENCFF002CNH.bed
95,0.0,GM12878_ChIP.seq_GABPA_ENCFF002CHA.bed
96,0.0,GM12878_ChIP.seq_POLR2A_ENCFF002CHO.bed
97,0.0,GM12878_ChIP.seq_SRF_ENCFF002CHW.bed
98,0.0,GM12878_ChIP.seq_REST_ENCSR000BGF_ENCFF001TXU_ENCFF001TXV_intersect.bed
99,0.0,GM12878_ChIP.seq_USF1_ENCFF002CIB.bed
100,0.0,HepG2_ChIP.seq_JUND_ENCFF002CKP.bed
101,0.0,HepG2_ChIP.seq_SIN3A_ENCFF002CLA.bed
102,0.0,HepG2_ChIP.seq_USF1_ENCFF002CLH.bed
103,0.0,HeLa.S3_ChIP.seq_POLR2A_ENCFF002CJZ.bed
104,0.0,GM12878_ChIP.seq_POU2F2_ENCFF002CHP.bed
105,0.0,GM12878_ChIP.seq_SPI1_ENCFF002CHQ.bed
106,0.0,GM12878_ChIP.seq_PBX3_ENCFF002CHL.bed
107,0.0,GM12878_ChIP.seq_TAF1_ENCFF002CHY.bed
108,0.0,GM12878_ChIP.seq_BATF_ENCFF002CGQ.bed
109,0.182478771356,GM12878_ChIP.seq_EBF1_ENCFF002CGV.bed
110,0.0,K562_ChIP.seq_SPI1_ENCFF002CMJ.bed
111,0.0,K562_ChIP.seq_SIX5_ENCFF002CMM.bed
112,0.0,GM12878_ChIP.seq_IRF4_ENCFF002CHB.bed
113,0.0,GM12878_ChIP.seq_TCF12_ENCFF002CHZ.bed
114,0.0,GM12878_ChIP.seq_BCL11A_ENCFF002CGR.bed
115,0.0,GM12878_ChIP.seq_EP300_ENCFF002CHI.bed
116,0.0,GM12878_ChIP.seq_ZBTB33_ENCFF002CID.bed
117,0.0,GM12878_ChIP.seq_PAX5_ENCFF002CHJ.bed
118,0.0,A549_ChIP.seq_NR3C1_ENCFF002CFQ.bed
119,0.0,A549_ChIP.seq_NR3C1_ENCFF002CFR.bed
120,0.0,A549_ChIP.seq_NR3C1_ENCFF002CFS.bed
121,0.0,A549_ChIP.seq_POLR2A_ENCFF002CFX.bed
122,0.0,A549_ChIP.seq_POLR2A_ENCFF002CFW.bed
123,0.0,GM12878_ChIP.seq_PAX5_ENCFF002CHK.bed
124,0.0,GM12878_ChIP.seq_SP1_ENCFF002CHV.bed
125,0.0,H1.hESC_ChIP.seq_REST_ENCFF002CJB.bed
126,0.0,H1.hESC_ChIP.seq_POLR2A_ENCFF002CJE.bed
127,0.0,H1.hESC_ChIP.seq_TAF1_ENCFF002CJO.bed
128,-0.320120343532,HepG2_ChIP.seq_FOSL2_ENCFF002CKH.bed
129,0.0,HepG2_ChIP.seq_ZBTB33_ENCFF002CLJ.bed
130,0.0,HeLa.S3_ChIP.seq_GABPA_ENCFF002CJX.bed
131,0.0,HeLa.S3_ChIP.seq_TAF1_ENCFF002CKA.bed
132,0.0,HepG2_ChIP.seq_RXRA_ENCFF002CKZ.bed
133,0.0,A549_ChIP.seq_CTCF_ENCFF002CFJ.bed
134,0.0,A549_ChIP.seq_CTCF_ENCFF002CFK.bed
135,0.0,A549_ChIP.seq_USF1_ENCFF002CGC.bed
136,0.0,GM12892_ChIP.seq_POLR2A_ENCFF002CIO.bed
137,0.0,GM12892_ChIP.seq_POLR2AphosphoS5_ENCFF002CIN.bed
138,0.0,GM12892_ChIP.seq_TAF1_ENCFF002CIP.bed
139,0.0,H1.hESC_ChIP.seq_POLR2AphosphoS5_ENCFF002CJD.bed
140,0.0,HepG2_ChIP.seq_BHLHE40_ENCFF002CKC.bed
141,0.0,HepG2_ChIP.seq_CTCF_ENCFF002CKF.bed
142,0.0,GM12878_ChIP.seq_POLR2AphosphoS5_ENCFF002CHN.bed
143,0.0,GM12891_ChIP.seq_POU2F2_ENCFF002CII.bed
144,0.0130190243766,GM12891_ChIP.seq_SPI1_ENCFF002CIJ.bed
145,0.0,GM12891_ChIP.seq_POLR2A_ENCFF002CIH.bed
146,0.0,GM12891_ChIP.seq_POLR2AphosphoS5_ENCFF002CIG.bed
147,0.0,GM12891_ChIP.seq_TAF1_ENCFF002CIK.bed
148,0.0,H1.hESC_ChIP.seq_BCL11A_ENCFF002CIT.bed
149,0.0,H1.hESC_ChIP.seq_SIX5_ENCFF002CJJ.bed
150,0.0,H1.hESC_ChIP.seq_SP1_ENCFF002CJK.bed
151,0.0,H1.hESC_ChIP.seq_SIN3A_ENCFF002CJI.bed
152,0.0,H1.hESC_ChIP.seq_TCF12_ENCFF002CJQ.bed
153,0.0,H1.hESC_ChIP.seq_USF1_ENCFF002CJS.bed
154,0.0,H1.hESC_ChIP.seq_SRF_ENCFF002CJN.bed
155,0.0,H1.hESC_ChIP.seq_GABPA_ENCFF002CIX.bed
156,0.0,Ishikawa_ChIP.seq_ESR1_ENCFF002CGJ.bed
157,0.0,H1.hESC_ChIP.seq_EGR1_ENCFF002CIV.bed
158,0.0,A549_ChIP.seq_USF1_ENCFF002CGD.bed
159,0.0,Ishikawa_ChIP.seq_NR3C1_ENCFF002CGM.bed
160,0.0,GM12878_ChIP.seq_RXRA_ENCFF002CHT.bed
161,0.0,GM12878_ChIP.seq_SIX5_ENCFF002CHU.bed
162,0.0,HepG2_ChIP.seq_TCF12_ENCFF002CLF.bed
163,0.0,GM12891_ChIP.seq_PAX5_ENCFF002CIF.bed
164,0.0,GM12892_ChIP.seq_PAX5_ENCFF002CIM.bed
165,0.0,SK.N.SH_ChIP.seq_REST_ENCFF002CNJ.bed
166,0.0,HepG2_ChIP.seq_GABPA_ENCFF002CKL.bed
167,0.0,HepG2_ChIP.seq_REST_ENCFF002CKT.bed
168,0.0,HepG2_ChIP.seq_POLR2A_ENCFF002CKX.bed
169,0.0,HepG2_ChIP.seq_TAF1_ENCFF002CLE.bed
170,0.0,Panc1_ChIP.seq_REST_ENCFF002CNA.bed
171,0.0,PFSK.1_ChIP.seq_REST_ENCFF002CNE.bed
172,0.0,U.87_MG_ChIP.seq_REST_ENCFF002COA.bed
173,0.0,A549_ChIP.seq_NR3C1_ENCFF002CFT.bed
174,0.0,T47D_ChIP.seq_ESR1_ENCFF002CNV.bed
175,0.0,H1.hESC_ChIP.seq_RXRA_ENCFF002CJH.bed
176,0.545776194869,HepG2_ChIP.seq_SP1_ENCFF002CLB.bed
177,0.0,GM12878_ChIP.seq_ATF3_ENCFF002CGP.bed
178,0.0,GM12878_ChIP.seq_BCLAF1_ENCFF002CGT.bed
179,0.0,GM12878_ChIP.seq_ETS1_ENCFF002CGY.bed
180,0.0,GM12878_ChIP.seq_MEF2A_ENCFF002CHC.bed
181,0.0,H1.hESC_ChIP.seq_ATF3_ENCFF002CIS.bed
182,0.0,H1.hESC_ChIP.seq_YY1_ENCFF002CJT.bed
183,0.0,HepG2_ChIP.seq_ATF3_ENCFF002CKB.bed
184,0.0,K562_ChIP.seq_ZBTB33_ENCFF002CMY.bed
185,0.0,K562_ChIP.seq_BCL3_ENCFF002CLO.bed
186,0.0,K562_ChIP.seq_BCLAF1_ENCFF002CLP.bed
187,0.0,Ishikawa_ChIP.seq_POLR2A_ENCFF002CGN.bed
188,0.0,GM12891_ChIP.seq_YY1_ENCFF002CIL.bed
189,0.0,H1.hESC_ChIP.seq_EP300_ENCFF002CJC.bed
190,0.0,Ishikawa_ChIP.seq_ESR1_ENCFF002CGK.bed
191,0.0,K562_ChIP.seq_GATA2_ENCFF002CMA.bed
192,0.0,T47D_ChIP.seq_ESR1_ENCFF002CNW.bed
193,0.0,K562_ChIP.seq_SP1_ENCFF002CMN.bed
194,0.0,H1.hESC_ChIP.seq_JUND_ENCFF002CIZ.bed
195,0.0,K562_ChIP.seq_ETS1_ENCFF002CLX.bed
196,0.0,K562_ChIP.seq_POLR2AphosphoS5_ENCFF002CMH.bed
197,0.0,K562_ChIP.seq_TAF1_ENCFF002CMR.bed
198,0.0,K562_ChIP.seq_USF1_ENCFF002CMV.bed
199,0.0,K562_ChIP.seq_YY1_ENCFF002CMW.bed
200,0.0,K562_ChIP.seq_RAD21_ENCFF002CMK.bed
201,0.0,Ishikawa_ChIP.seq_FOXA1_ENCFF002CGL.bed
202,0.0,T47D_ChIP.seq_FOXA1_ENCFF002CNX.bed
203,0.0,H1.hESC_ChIP.seq_RAD21_ENCFF002CJG.bed
204,0.0,HepG2_ChIP.seq_FOXA1_ENCFF002CKJ.bed
205,0.0,HepG2_ChIP.seq_HNF4A_ENCFF002CKN.bed
206,0.0,K562_ChIP.seq_E2F6_ENCFF002CLU.bed
207,0.0,K562_ChIP.seq_SRF_ENCFF002CMP.bed
208,0.0,T47D_ChIP.seq_EP300_ENCFF002CNZ.bed
209,0.0,K562_ChIP.seq_GABPA_ENCFF002CLZ.bed
210,0.0,K562_ChIP.seq_MAX_ENCFF002CMC.bed
211,0.0,K562_ChIP.seq_SIN3A_ENCFF002CML.bed
212,-0.408724840851,HepG2_ChIP.seq_RAD21_ENCFF002CKY.bed
213,0.0,GM12892_ChIP.seq_YY1_ENCFF002CIQ.bed
214,0.0,H1.hESC_ChIP.seq_TAF7_ENCFF002CJP.bed
215,0.0,HepG2_ChIP.seq_SRF_ENCFF002CLD.bed
216,0.0,HepG2_ChIP.seq_EP300_ENCFF002CKV.bed
217,0.0,SK.N.SH_ChIP.seq_CTCF_ENCFF002CNO.bed
218,0.0,SK.N.SH_ChIP.seq_RAD21_ENCFF002CNQ.bed
219,0.0,SK.N.SH_ChIP.seq_YY1_ENCFF002CNS.bed
220,0.0,SK.N.SH_ChIP.seq_EP300_ENCFF002CNP.bed
221,0.0,GM12878_ChIP.seq_ELF1_ENCFF002CGX.bed
222,0.14791476531,HepG2_ChIP.seq_HDAC2_ENCFF002CKM.bed
223,0.0,K562_ChIP.seq_ELF1_ENCFF002CLW.bed
224,0.0,K562_ChIP.seq_ZBTB7A_ENCFF002CMZ.bed
225,0.0,SK.N.SH_ChIP.seq_USF1_ENCFF002CNR.bed
226,0.0,K562_ChIP.seq_HDAC2_ENCFF002CMB.bed
227,-0.396727797985,K562_ChIP.seq_YY1_ENCFF002CMX.bed
228,0.0,GM12878_ChIP.seq_SRF_ENCSR000BMI_ENCFF001TZD_ENCFF001TZC_intersect.bed
229,0.0,H1.hESC_ChIP.seq_BCL11A_ENCFF001UAX.bed
230,0.0,HCT116_ChIP.seq_POLR2AphosphoS5_ENCFF002CJU.bed
231,0.0,HeLa.S3_ChIP.seq_REST_ENCFF002CJY.bed
232,0.0,HepG2_ChIP.seq_FOXA1_ENCFF002CKI.bed
233,0.0,GM12878_ChIP.seq_EGR1_ENCSR000BMQ_ENCFF001TWU_ENCFF001TWV_intersect.bed
234,0.0,K562_ChIP.seq_POLR2A_ENCFF002CMI.bed
235,0.0,H1.hESC_ChIP.seq_NANOG_ENCFF002CJA.bed
236,0.0,H1.hESC_ChIP.seq_POU5F1_ENCFF002CJF.bed
237,0.0,K562_ChIP.seq_FOSL1_ENCFF002CLY.bed
238,0.0,K562_ChIP.seq_REST_ENCFF002CMF.bed
239,-0.0222234435669,T47D_ChIP.seq_GATA3_ENCFF002CNY.bed
240,0.0,GM12878_ChIP.seq_RAD21_ENCFF002CHR.bed
241,0.0,HepG2_ChIP.seq_ELF1_ENCFF002CKG.bed
242,0.0,HepG2_ChIP.seq_ZBTB33_ENCSR000BNA_ENCFF001UIF_ENCFF001UIE_intersect.bed
243,0.0,GM12878_ChIP.seq_ZEB1_ENCFF002CIE.bed
244,0.0,K562_ChIP.seq_EGR1_ENCFF002CLV.bed
245,0.0,GM12878_ChIP.seq_MEF2C_ENCFF002CHD.bed
246,0.0,H1.hESC_ChIP.seq_CTCF_ENCFF002CIU.bed
247,0.0,HepG2_ChIP.seq_FOXA2_ENCFF002CKK.bed
248,0.0,HepG2_ChIP.seq_HNF4G_ENCFF002CKO.bed
249,0.0,K562_ChIP.seq_CTCFL_ENCFF002CLT.bed
250,0.0,K562_ChIP.seq_SP2_ENCFF002CMO.bed
251,0.0,K562_ChIP.seq_TAF7_ENCFF002CMS.bed
252,0.0,K562_ChIP.seq_THAP1_ENCFF002CMU.bed
253,0.0,T47D_ChIP.seq_CTCF_ENCFF002CNT.bed
254,0.0,GM12878_ChIP.seq_YY1_ENCFF002CIC.bed
255,0.0,GM12878_ChIP.seq_BCL3_ENCFF002CGS.bed
256,0.0,H1.hESC_ChIP.seq_HDAC2_ENCFF002CIY.bed
257,0.0,H1.hESC_ChIP.seq_FOSL1_ENCFF002CIW.bed
258,0.0,HepG2_ChIP.seq_YY1_ENCFF002CLI.bed
259,0.0,K562_ChIP.seq_ATF3_ENCFF002CLN.bed
260,0.0,K562_ChIP.seq_MEF2A_ENCFF002CMD.bed
261,0.0,K562_ChIP.seq_SIX5_ENCSR000BNW_ENCFF001ULD_ENCFF001ULE_intersect.bed
262,0.0,HCT116_ChIP.seq_YY1_ENCFF002CJV.bed
263,0.0,HCT116_ChIP.seq_ZBTB33_ENCFF002CJW.bed
264,0.0,U.87_MG_ChIP.seq_POLR2AphosphoS5_ENCFF002COB.bed
265,0.0,HepG2_ChIP.seq_REST_ENCFF002CKU.bed
266,0.0,HepG2_ChIP.seq_SP2_ENCFF002CLC.bed
267,0.0,Panc1_ChIP.seq_POLR2AphosphoS5_ENCFF002CNB.bed
268,0.0,Panc1_ChIP.seq_SIN3A_ENCFF002CNC.bed
269,0.0,PFSK.1_ChIP.seq_REST_ENCSR000BOX_ENCFF001UON_ENCFF001UOO_intersect.bed
270,0.0,PFSK.1_ChIP.seq_SIN3A_ENCFF002CNF.bed
271,0.0,SK.N.SH_ChIP.seq_REST_ENCFF002CNK.bed
272,0.0,SK.N.SH_ChIP.seq_POLR2AphosphoS5_ENCFF002CNL.bed
273,0.0,SK.N.SH_ChIP.seq_SIN3A_ENCFF002CNM.bed
274,0.0,PFSK.1_ChIP.seq_POLR2AphosphoS5_ENCSR000BPC_ENCFF001UOQ_ENCFF001UOP_intersect.bed
275,0.0,A549_ChIP.seq_SP1_ENCSR000BPE_ENCFF001TTP_ENCFF001TTQ_intersect.bed
276,0.0,A549_ChIP.seq_TAF1_ENCFF002CGA.bed
277,0.0,HepG2_ChIP.seq_POLR2AphosphoS5_ENCFF002CKW.bed
278,0.0,K562_ChIP.seq_CTCF_ENCFF002CLS.bed
279,0.0,Panc1_ChIP.seq_REST_ENCSR000BPK_ENCFF001UOC_ENCFF001UOB_intersect.bed
280,0.0,SK.N.MC_ChIP.seq_POLR2AphosphoS5_ENCFF002CNI.bed
281,0.0,A549_ChIP.seq_YY1_ENCFF002CGF.bed
282,0.0,A549_ChIP.seq_ATF3_ENCFF002CFG.bed
283,0.0,A549_ChIP.seq_ELF1_ENCFF002CFL.bed
284,-0.346141017287,A549_ChIP.seq_ETS1_ENCFF002CFM.bed
285,0.0,A549_ChIP.seq_USF1_ENCFF002CGE.bed
286,0.0,A549_ChIP.seq_EP300_ENCFF002CFV.bed
287,0.0,A549_ChIP.seq_FOXA1_ENCFF002CFO.bed
288,0.0,A549_ChIP.seq_GABPA_ENCFF002CFP.bed
289,-0.216723434801,A549_ChIP.seq_ZBTB33_ENCFF002CGG.bed
290,0.0,HepG2_ChIP.seq_ZBTB7A_ENCFF002CLK.bed
291,0.0,endothelial_cell_of_umbilical_vein_ChIP.seq_POLR2A_ENCFF002CLM.bed
292,0.0,endothelial_cell_of_umbilical_vein_ChIP.seq_POLR2AphosphoS5_ENCFF002CLL.bed
293,0.0,T47D_ChIP.seq_ESR1_ENCFF002CNU.bed
294,0.0,Ishikawa_ChIP.seq_CTCF_ENCFF002CGH.bed
295,0.0,SK.N.SH_ChIP.seq_TAF1_ENCFF002CNN.bed
296,0.0,H1.hESC_ChIP.seq_SP2_ENCFF002CJL.bed
297,0.0,A549_ChIP.seq_BCL3_ENCFF002CFH.bed
298,0.0,HepG2_ChIP.seq_CEBPB_ENCFF002CKD.bed
299,0.0,HepG2_ChIP.seq_CEBPD_ENCFF002CKE.bed
300,0.0,GM12878_ChIP.seq_ATF2_ENCFF002CGO.bed
301,-0.402822330416,GM12878_ChIP.seq_NFATC1_ENCFF002CHF.bed
302,0.0,GM12878_ChIP.seq_PML_ENCFF002CHM.bed
303,0.0,PFSK.1_ChIP.seq_TAF1_ENCFF002CNG.bed
304,0.0,A549_ChIP.seq_FOSL2_ENCFF002CFN.bed
305,0.0,A549_ChIP.seq_REST_ENCFF002CFU.bed
306,0.0,A549_ChIP.seq_TCF12_ENCFF002CGB.bed
307,0.0,Ishikawa_ChIP.seq_ESR1_ENCFF002CGI.bed
308,0.0,GM12878_ChIP.seq_REST_ENCFF002CHH.bed
309,0.0,GM12878_ChIP.seq_TCF3_ENCFF002CIA.bed
310,0.0,H1.hESC_ChIP.seq_ATF2_ENCFF002CIR.bed
311,0.0,H1.hESC_ChIP.seq_SP4_ENCFF002CJM.bed
312,0.0,HepG2_ChIP.seq_MBD4_ENCFF002CKQ.bed
313,0.0,HepG2_ChIP.seq_NFIC_ENCFF002CKS.bed
314,0.0,K562_ChIP.seq_PML_ENCFF002CMG.bed
315,0.0,GM12878_ChIP.seq_STAT5A_ENCFF002CHX.bed
316,0.0,A549_ChIP.seq_CREB1_ENCFF002CFI.bed
317,-0.155308745031,A549_ChIP.seq_FOXA2_ENCSR000BRE_ENCFF001TSH_ENCFF001TSI_intersect.bed
318,0.0,A549_ChIP.seq_JUND_ENCSR000BRF_ENCFF001TSW_ENCFF001TSV_intersect.bed
319,0.0,GM12878_ChIP.seq_EGR1_ENCFF002CGW.bed
320,0.0,GM12878_ChIP.seq_MTA3_ENCFF002CHE.bed
321,0.0,GM12878_ChIP.seq_RUNX3_ENCFF002CHS.bed
322,0.00281712400914,K562_ChIP.seq_TEAD4_ENCFF002CMT.bed
323,0.0,A549_ChIP.seq_SIX5_ENCFF002CFZ.bed
324,0.0,A549_ChIP.seq_SIN3A_ENCFF002CFY.bed
325,0.0,GM12878_ChIP.seq_NFIC_ENCFF002CHG.bed
326,0.0,HepG2_ChIP.seq_MYBL2_ENCFF002CKR.bed
327,0.0,HepG2_ChIP.seq_TEAD4_ENCFF002CLG.bed
328,-0.199785376446,K562_ChIP.seq_CEBPB_ENCFF002CLR.bed
329,0.0,K562_ChIP.seq_STAT5A_ENCFF002CMQ.bed
330,0.0,K562_ChIP.seq_NR2F2_ENCFF002CME.bed
331,0.0,K562_ChIP.seq_CBX3_ENCFF002CLQ.bed
332,0.0,GM12878_ChIP.seq_FOXM1_ENCFF002CGZ.bed
333,0.0,K562_ChIP.seq_TRIM28_ENCSR000BRW_ENCFF001ULW_ENCFF001ULV_intersect.bed
334,0.0,GM12878_ChIP.seq_CEBPB_ENCFF002CGU.bed
335,0.0,H1.hESC_ChIP.seq_TEAD4_ENCFF002CJR.bed
336,0.0,HCT116_ChIP.seq_EGR1_ENCSR000BRZ_ENCFF001UDT_ENCFF001UDS_intersect.bed
337,0.0,HCT116_ChIP.seq_JUND_ENCSR000BSA_ENCFF001UDZ_ENCFF001UDY_intersect.bed
338,0.0,HCT116_ChIP.seq_RAD21_ENCSR000BSB_ENCFF001UEH_ENCFF001UEG_intersect.bed
339,0.0,HCT116_ChIP.seq_SRF_ENCSR000BSC_ENCFF001UEN_ENCFF001UEM_intersect.bed
340,0.0,HCT116_ChIP.seq_CEBPB_ENCSR000BSD_ENCFF001UDP_ENCFF001UDO_intersect.bed
341,0.0,HCT116_ChIP.seq_CTCF_ENCSR000BSE_ENCFF001UDQ_ENCFF001UDR_intersect.bed
342,0.0,HCT116_ChIP.seq_SP1_ENCSR000BSF_ENCFF001UEK_ENCFF001UEL_intersect.bed
343,0.0,HCT116_ChIP.seq_SIN3A_ENCSR000BSG_ENCFF001UEI_ENCFF001UEJ_intersect.bed
344,0.0,HCT116_ChIP.seq_MAX_ENCSR000BSH_ENCFF001UEA_ENCFF001UEB_intersect.bed
345,0.0,H1.hESC_ChIP.seq_E2F6_ENCSR000BSI_ENCFF001UBC_ENCFF001UBD_intersect.bed
346,0.0,H1.hESC_ChIP.seq_MAX_ENCSR000BSJ_ENCFF001UBO_ENCFF001UBP_intersect.bed
347,0.237565674509,SK.N.SH_ChIP.seq_JUND_ENCSR000BSK_ENCFF001UPK_ENCFF001UPJ_intersect.bed
