,Feature,Weight
33,H1.hESC_ChIP.seq_RBBP5_ENCFF002CDV.bed,0.0
34,K562_ChIP.seq_CHD1_ENCFF002CEK.bed,0.0
35,K562_ChIP.seq_EZH2_ENCFF002CEM.bed,0.0
36,K562_ChIP.seq_HDAC1_ENCFF002CEN.bed,0.0
37,K562_ChIP.seq_HDAC2_ENCFF002CEO.bed,0.0
38,K562_ChIP.seq_PHF8_ENCFF002CER.bed,0.0
39,K562_ChIP.seq_RBBP5_ENCFF002CEU.bed,0.0
40,K562_ChIP.seq_SAP30_ENCFF002CEV.bed,0.0
41,H1.hESC_ChIP.seq_CHD1_ENCFF002CDR.bed,0.0
42,H1.hESC_ChIP.seq_KDM5A_ENCFF002CDU.bed,0.0
43,DND.41_ChIP.seq_CTCF_ENCFF002CDN.bed,0.0
44,GM12878_ChIP.seq_EZH2_ENCFF002CDQ.bed,0.0
45,mammary_epithelial_cell_ChIP.seq_EZH2_ENCFF002CEC.bed,0.0
46,skeletal_muscle_myoblast_ChIP.seq_EZH2_ENCFF002CEE.bed,0.0
47,HepG2_ChIP.seq_EZH2_ENCFF002CEA.bed,0.0
48,keratinocyte_ChIP.seq_EZH2_ENCFF002CFB.bed,0.0
49,fibroblast_of_lung_ChIP.seq_EZH2_ENCFF002CFE.bed,0.0
50,astrocyte_ChIP.seq_EZH2_ENCFF002CEX.bed,0.0
51,fibroblast_of_dermis_ChIP.seq_EZH2_ENCFF002CEZ.bed,0.0
52,DND.41_ChIP.seq_EZH2_ENCFF002CDO.bed,0.0
53,H1.hESC_ChIP.seq_EZH2_ENCFF002CDT.bed,0.0
54,myotube_ChIP.seq_EZH2_ENCFF002CEG.bed,0.0
55,endothelial_cell_of_umbilical_vein_ChIP.seq_EZH2_ENCFF002CEI.bed,0.0
56,HeLa.S3_ChIP.seq_EZH2_ENCFF002CDX.bed,0.0
57,K562_ChIP.seq_HDAC6_ENCFF002CEP.bed,0.0
58,H1.hESC_ChIP.seq_PHF8_ENCFF001SVL.bed,0.0
59,K562_ChIP.seq_CHD4_ENCFF001SYY.bed,0.0
60,K562_ChIP.seq_REST_ENCFF001TAA.bed,0.0
61,CD14.positive_monocyte_ChIP.seq_CTCF_ENCFF001TAH.bed,0.0
62,H1.hESC_ChIP.seq_HDAC6_ENCFF001SVH.bed,0.0
63,H1.hESC_ChIP.seq_SAP30_ENCFF001SVN.bed,0.0
64,H1.hESC_ChIP.seq_SUZ12_ENCFF001SVQ.bed,0.0
65,K562_ChIP.seq_CREBBP_ENCFF001SYU.bed,0.0
66,K562_ChIP.seq_CBX2_ENCFF001SYV.bed,0.0
67,K562_ChIP.seq_CBX3_ENCFF001SYW.bed,0.0
68,K562_ChIP.seq_CBX8_ENCFF001SYX.bed,0.0
69,K562_ChIP.seq_KDM1A_ENCFF001SZS.bed,0.0
70,K562_ChIP.seq_NCOR1_ENCFF001SZT.bed,0.0
71,K562_ChIP.seq_KAT2B_ENCFF001SZW.bed,0.0
72,K562_ChIP.seq_RNF2_ENCFF001TAC.bed,0.0
73,K562_ChIP.seq_SIRT6_ENCFF001TAE.bed,0.0
74,K562_ChIP.seq_SUZ12_ENCFF001TAG.bed,0.0
75,osteoblast_ChIP.seq_EP300_ENCFF001TCZ.bed,0.0
76,A549_ChIP.seq_CTCF_ENCFF001SSN.bed,0.0343467634793
77,A549_ChIP.seq_CTCF_ENCFF001SSO.bed,0.0
78,B_cell_ChIP.seq_H3K27ac_ENCFF001STM.bed,0.0
79,H1.hESC_ChIP.seq_EP300_ENCFF001SVK.bed,0.0
80,H1.hESC_ChIP.seq_KDM5B_ENCFF001SVM.bed,0.0
81,H1.hESC_ChIP.seq_SIRT6_ENCFF001SVP.bed,0.0
82,K562_ChIP.seq_SETDB1_ENCFF001TAD.bed,0.0
83,B_cell_ChIP.seq_CTCF_ENCFF001STI.bed,0.0
84,B_cell_ChIP.seq_H2AFZ_ENCFF001STJ.bed,0.0
85,B_cell_ChIP.seq_H3K4me2_ENCFF001STK.bed,0.0
86,B_cell_ChIP.seq_EZH2_ENCFF001STL.bed,0.0
87,H1.hESC_ChIP.seq_CHD7_ENCFF001SUS.bed,0.0
88,H1.hESC_ChIP.seq_HDAC2_ENCFF001SVG.bed,0.0
89,H1.hESC_ChIP.seq_KDM4A_ENCFF001SVJ.bed,0.0
90,K562_ChIP.seq_CHD7_ENCFF001SYZ.bed,0.0
91,K562_ChIP.seq_WHSC1_ENCFF001SZU.bed,0.0
92,B_cell_ChIP.seq_H4K20me1_ENCFF001STN.bed,0.0183169377342
93,PFSK.1_ChIP.seq_FOXP2_ENCFF002CND.bed,0.0
94,SK.N.MC_ChIP.seq_FOXP2_ENCFF002CNH.bed,0.0
95,GM12878_ChIP.seq_GABPA_ENCFF002CHA.bed,0.0
96,GM12878_ChIP.seq_POLR2A_ENCFF002CHO.bed,0.0
97,GM12878_ChIP.seq_SRF_ENCFF002CHW.bed,0.0
98,GM12878_ChIP.seq_REST_ENCSR000BGF_ENCFF001TXU_ENCFF001TXV_intersect.bed,0.0
99,GM12878_ChIP.seq_USF1_ENCFF002CIB.bed,0.0
100,HepG2_ChIP.seq_JUND_ENCFF002CKP.bed,0.0
101,HepG2_ChIP.seq_SIN3A_ENCFF002CLA.bed,0.0
102,HepG2_ChIP.seq_USF1_ENCFF002CLH.bed,0.0
103,HeLa.S3_ChIP.seq_POLR2A_ENCFF002CJZ.bed,0.0
104,GM12878_ChIP.seq_POU2F2_ENCFF002CHP.bed,0.0
105,GM12878_ChIP.seq_SPI1_ENCFF002CHQ.bed,0.0
106,GM12878_ChIP.seq_PBX3_ENCFF002CHL.bed,0.0
107,GM12878_ChIP.seq_TAF1_ENCFF002CHY.bed,0.0
108,GM12878_ChIP.seq_BATF_ENCFF002CGQ.bed,0.0
109,GM12878_ChIP.seq_EBF1_ENCFF002CGV.bed,0.0
110,K562_ChIP.seq_SPI1_ENCFF002CMJ.bed,0.0
111,K562_ChIP.seq_SIX5_ENCFF002CMM.bed,0.0
112,GM12878_ChIP.seq_IRF4_ENCFF002CHB.bed,0.0
113,GM12878_ChIP.seq_TCF12_ENCFF002CHZ.bed,0.0
114,GM12878_ChIP.seq_BCL11A_ENCFF002CGR.bed,0.0
115,GM12878_ChIP.seq_EP300_ENCFF002CHI.bed,0.0
116,GM12878_ChIP.seq_ZBTB33_ENCFF002CID.bed,0.0
117,GM12878_ChIP.seq_PAX5_ENCFF002CHJ.bed,0.0
118,A549_ChIP.seq_NR3C1_ENCFF002CFQ.bed,0.0
119,A549_ChIP.seq_NR3C1_ENCFF002CFR.bed,0.0
120,A549_ChIP.seq_NR3C1_ENCFF002CFS.bed,0.0
121,A549_ChIP.seq_POLR2A_ENCFF002CFX.bed,0.0
122,A549_ChIP.seq_POLR2A_ENCFF002CFW.bed,0.0
123,GM12878_ChIP.seq_PAX5_ENCFF002CHK.bed,0.0
124,GM12878_ChIP.seq_SP1_ENCFF002CHV.bed,0.0
125,H1.hESC_ChIP.seq_REST_ENCFF002CJB.bed,0.0
126,H1.hESC_ChIP.seq_POLR2A_ENCFF002CJE.bed,0.0
127,H1.hESC_ChIP.seq_TAF1_ENCFF002CJO.bed,0.0
128,HepG2_ChIP.seq_FOSL2_ENCFF002CKH.bed,0.0
129,HepG2_ChIP.seq_ZBTB33_ENCFF002CLJ.bed,0.0
130,HeLa.S3_ChIP.seq_GABPA_ENCFF002CJX.bed,0.0
131,HeLa.S3_ChIP.seq_TAF1_ENCFF002CKA.bed,0.0
132,HepG2_ChIP.seq_RXRA_ENCFF002CKZ.bed,0.0
133,A549_ChIP.seq_CTCF_ENCFF002CFJ.bed,0.0
134,A549_ChIP.seq_CTCF_ENCFF002CFK.bed,0.0
135,A549_ChIP.seq_USF1_ENCFF002CGC.bed,0.0
136,GM12892_ChIP.seq_POLR2A_ENCFF002CIO.bed,0.0
137,GM12892_ChIP.seq_POLR2AphosphoS5_ENCFF002CIN.bed,0.0
138,GM12892_ChIP.seq_TAF1_ENCFF002CIP.bed,0.0
139,H1.hESC_ChIP.seq_POLR2AphosphoS5_ENCFF002CJD.bed,0.0
140,HepG2_ChIP.seq_BHLHE40_ENCFF002CKC.bed,0.0
141,HepG2_ChIP.seq_CTCF_ENCFF002CKF.bed,0.0
142,GM12878_ChIP.seq_POLR2AphosphoS5_ENCFF002CHN.bed,0.0
143,GM12891_ChIP.seq_POU2F2_ENCFF002CII.bed,0.0
144,GM12891_ChIP.seq_SPI1_ENCFF002CIJ.bed,0.0
145,GM12891_ChIP.seq_POLR2A_ENCFF002CIH.bed,0.0
146,GM12891_ChIP.seq_POLR2AphosphoS5_ENCFF002CIG.bed,0.0
147,GM12891_ChIP.seq_TAF1_ENCFF002CIK.bed,0.0
148,H1.hESC_ChIP.seq_BCL11A_ENCFF002CIT.bed,0.0
149,H1.hESC_ChIP.seq_SIX5_ENCFF002CJJ.bed,0.0
150,H1.hESC_ChIP.seq_SP1_ENCFF002CJK.bed,0.0
151,H1.hESC_ChIP.seq_SIN3A_ENCFF002CJI.bed,0.0
152,H1.hESC_ChIP.seq_TCF12_ENCFF002CJQ.bed,0.0
153,H1.hESC_ChIP.seq_USF1_ENCFF002CJS.bed,0.0
154,H1.hESC_ChIP.seq_SRF_ENCFF002CJN.bed,0.0
155,H1.hESC_ChIP.seq_GABPA_ENCFF002CIX.bed,0.0
156,Ishikawa_ChIP.seq_ESR1_ENCFF002CGJ.bed,0.0
157,H1.hESC_ChIP.seq_EGR1_ENCFF002CIV.bed,0.0
158,A549_ChIP.seq_USF1_ENCFF002CGD.bed,0.0
159,Ishikawa_ChIP.seq_NR3C1_ENCFF002CGM.bed,0.0
160,GM12878_ChIP.seq_RXRA_ENCFF002CHT.bed,0.0
161,GM12878_ChIP.seq_SIX5_ENCFF002CHU.bed,0.0
162,HepG2_ChIP.seq_TCF12_ENCFF002CLF.bed,0.0
163,GM12891_ChIP.seq_PAX5_ENCFF002CIF.bed,0.0
164,GM12892_ChIP.seq_PAX5_ENCFF002CIM.bed,0.0
165,SK.N.SH_ChIP.seq_REST_ENCFF002CNJ.bed,0.0
166,HepG2_ChIP.seq_GABPA_ENCFF002CKL.bed,0.0
167,HepG2_ChIP.seq_REST_ENCFF002CKT.bed,0.0
168,HepG2_ChIP.seq_POLR2A_ENCFF002CKX.bed,0.0
169,HepG2_ChIP.seq_TAF1_ENCFF002CLE.bed,0.0
170,Panc1_ChIP.seq_REST_ENCFF002CNA.bed,0.0
171,PFSK.1_ChIP.seq_REST_ENCFF002CNE.bed,0.0
172,U.87_MG_ChIP.seq_REST_ENCFF002COA.bed,0.0
173,A549_ChIP.seq_NR3C1_ENCFF002CFT.bed,0.0
174,T47D_ChIP.seq_ESR1_ENCFF002CNV.bed,0.0
175,H1.hESC_ChIP.seq_RXRA_ENCFF002CJH.bed,0.0
176,HepG2_ChIP.seq_SP1_ENCFF002CLB.bed,0.158383401862
177,GM12878_ChIP.seq_ATF3_ENCFF002CGP.bed,0.0
178,GM12878_ChIP.seq_BCLAF1_ENCFF002CGT.bed,0.0
179,GM12878_ChIP.seq_ETS1_ENCFF002CGY.bed,0.0
180,GM12878_ChIP.seq_MEF2A_ENCFF002CHC.bed,0.0
181,H1.hESC_ChIP.seq_ATF3_ENCFF002CIS.bed,0.0
182,H1.hESC_ChIP.seq_YY1_ENCFF002CJT.bed,0.0
183,HepG2_ChIP.seq_ATF3_ENCFF002CKB.bed,0.0
184,K562_ChIP.seq_ZBTB33_ENCFF002CMY.bed,0.0
185,K562_ChIP.seq_BCL3_ENCFF002CLO.bed,0.0
186,K562_ChIP.seq_BCLAF1_ENCFF002CLP.bed,0.0
187,Ishikawa_ChIP.seq_POLR2A_ENCFF002CGN.bed,0.0
188,GM12891_ChIP.seq_YY1_ENCFF002CIL.bed,0.0
189,H1.hESC_ChIP.seq_EP300_ENCFF002CJC.bed,0.0
190,Ishikawa_ChIP.seq_ESR1_ENCFF002CGK.bed,0.0
191,K562_ChIP.seq_GATA2_ENCFF002CMA.bed,0.0
192,T47D_ChIP.seq_ESR1_ENCFF002CNW.bed,0.0
193,K562_ChIP.seq_SP1_ENCFF002CMN.bed,0.0
194,H1.hESC_ChIP.seq_JUND_ENCFF002CIZ.bed,0.0
195,K562_ChIP.seq_ETS1_ENCFF002CLX.bed,0.0
196,K562_ChIP.seq_POLR2AphosphoS5_ENCFF002CMH.bed,0.0
197,K562_ChIP.seq_TAF1_ENCFF002CMR.bed,0.0
198,K562_ChIP.seq_USF1_ENCFF002CMV.bed,0.0
199,K562_ChIP.seq_YY1_ENCFF002CMW.bed,0.0
200,K562_ChIP.seq_RAD21_ENCFF002CMK.bed,0.0
201,Ishikawa_ChIP.seq_FOXA1_ENCFF002CGL.bed,0.0
202,T47D_ChIP.seq_FOXA1_ENCFF002CNX.bed,0.0
203,H1.hESC_ChIP.seq_RAD21_ENCFF002CJG.bed,0.0
204,HepG2_ChIP.seq_FOXA1_ENCFF002CKJ.bed,0.0
205,HepG2_ChIP.seq_HNF4A_ENCFF002CKN.bed,0.0
206,K562_ChIP.seq_E2F6_ENCFF002CLU.bed,0.0
207,K562_ChIP.seq_SRF_ENCFF002CMP.bed,0.0
208,T47D_ChIP.seq_EP300_ENCFF002CNZ.bed,0.0
209,K562_ChIP.seq_GABPA_ENCFF002CLZ.bed,0.0
210,K562_ChIP.seq_MAX_ENCFF002CMC.bed,0.0
211,K562_ChIP.seq_SIN3A_ENCFF002CML.bed,0.0
212,HepG2_ChIP.seq_RAD21_ENCFF002CKY.bed,0.0
213,GM12892_ChIP.seq_YY1_ENCFF002CIQ.bed,0.0
214,H1.hESC_ChIP.seq_TAF7_ENCFF002CJP.bed,0.0
215,HepG2_ChIP.seq_SRF_ENCFF002CLD.bed,0.0
216,HepG2_ChIP.seq_EP300_ENCFF002CKV.bed,0.0
217,SK.N.SH_ChIP.seq_CTCF_ENCFF002CNO.bed,0.0
218,SK.N.SH_ChIP.seq_RAD21_ENCFF002CNQ.bed,0.0
219,SK.N.SH_ChIP.seq_YY1_ENCFF002CNS.bed,0.0
220,SK.N.SH_ChIP.seq_EP300_ENCFF002CNP.bed,0.0
221,GM12878_ChIP.seq_ELF1_ENCFF002CGX.bed,0.0
222,HepG2_ChIP.seq_HDAC2_ENCFF002CKM.bed,0.0
223,K562_ChIP.seq_ELF1_ENCFF002CLW.bed,0.0
224,K562_ChIP.seq_ZBTB7A_ENCFF002CMZ.bed,0.0
225,SK.N.SH_ChIP.seq_USF1_ENCFF002CNR.bed,0.0
226,K562_ChIP.seq_HDAC2_ENCFF002CMB.bed,0.0
227,K562_ChIP.seq_YY1_ENCFF002CMX.bed,0.0
228,GM12878_ChIP.seq_SRF_ENCSR000BMI_ENCFF001TZD_ENCFF001TZC_intersect.bed,0.0
229,H1.hESC_ChIP.seq_BCL11A_ENCFF001UAX.bed,0.0
230,HCT116_ChIP.seq_POLR2AphosphoS5_ENCFF002CJU.bed,0.0
231,HeLa.S3_ChIP.seq_REST_ENCFF002CJY.bed,0.0
232,HepG2_ChIP.seq_FOXA1_ENCFF002CKI.bed,0.0
233,GM12878_ChIP.seq_EGR1_ENCSR000BMQ_ENCFF001TWU_ENCFF001TWV_intersect.bed,0.0
234,K562_ChIP.seq_POLR2A_ENCFF002CMI.bed,0.0
235,H1.hESC_ChIP.seq_NANOG_ENCFF002CJA.bed,0.0
236,H1.hESC_ChIP.seq_POU5F1_ENCFF002CJF.bed,0.0
237,K562_ChIP.seq_FOSL1_ENCFF002CLY.bed,0.0
238,K562_ChIP.seq_REST_ENCFF002CMF.bed,0.0
239,T47D_ChIP.seq_GATA3_ENCFF002CNY.bed,0.0
240,GM12878_ChIP.seq_RAD21_ENCFF002CHR.bed,0.0
241,HepG2_ChIP.seq_ELF1_ENCFF002CKG.bed,0.0
242,HepG2_ChIP.seq_ZBTB33_ENCSR000BNA_ENCFF001UIF_ENCFF001UIE_intersect.bed,0.0
243,GM12878_ChIP.seq_ZEB1_ENCFF002CIE.bed,0.0
244,K562_ChIP.seq_EGR1_ENCFF002CLV.bed,0.0
245,GM12878_ChIP.seq_MEF2C_ENCFF002CHD.bed,0.0
246,H1.hESC_ChIP.seq_CTCF_ENCFF002CIU.bed,0.0
247,HepG2_ChIP.seq_FOXA2_ENCFF002CKK.bed,0.0
248,HepG2_ChIP.seq_HNF4G_ENCFF002CKO.bed,0.0
249,K562_ChIP.seq_CTCFL_ENCFF002CLT.bed,0.0
250,K562_ChIP.seq_SP2_ENCFF002CMO.bed,0.0
251,K562_ChIP.seq_TAF7_ENCFF002CMS.bed,0.0
252,K562_ChIP.seq_THAP1_ENCFF002CMU.bed,0.0
253,T47D_ChIP.seq_CTCF_ENCFF002CNT.bed,0.0
254,GM12878_ChIP.seq_YY1_ENCFF002CIC.bed,0.0
255,GM12878_ChIP.seq_BCL3_ENCFF002CGS.bed,0.0
256,H1.hESC_ChIP.seq_HDAC2_ENCFF002CIY.bed,0.0
257,H1.hESC_ChIP.seq_FOSL1_ENCFF002CIW.bed,0.0
258,HepG2_ChIP.seq_YY1_ENCFF002CLI.bed,0.0
259,K562_ChIP.seq_ATF3_ENCFF002CLN.bed,0.0
260,K562_ChIP.seq_MEF2A_ENCFF002CMD.bed,0.0
261,K562_ChIP.seq_SIX5_ENCSR000BNW_ENCFF001ULD_ENCFF001ULE_intersect.bed,0.0
262,HCT116_ChIP.seq_YY1_ENCFF002CJV.bed,0.0
263,HCT116_ChIP.seq_ZBTB33_ENCFF002CJW.bed,0.0
264,U.87_MG_ChIP.seq_POLR2AphosphoS5_ENCFF002COB.bed,0.0
265,HepG2_ChIP.seq_REST_ENCFF002CKU.bed,0.0
266,HepG2_ChIP.seq_SP2_ENCFF002CLC.bed,0.0
267,Panc1_ChIP.seq_POLR2AphosphoS5_ENCFF002CNB.bed,0.0
268,Panc1_ChIP.seq_SIN3A_ENCFF002CNC.bed,0.0
269,PFSK.1_ChIP.seq_REST_ENCSR000BOX_ENCFF001UON_ENCFF001UOO_intersect.bed,0.0
270,PFSK.1_ChIP.seq_SIN3A_ENCFF002CNF.bed,0.0
271,SK.N.SH_ChIP.seq_REST_ENCFF002CNK.bed,0.0
272,SK.N.SH_ChIP.seq_POLR2AphosphoS5_ENCFF002CNL.bed,0.0
273,SK.N.SH_ChIP.seq_SIN3A_ENCFF002CNM.bed,0.0
274,PFSK.1_ChIP.seq_POLR2AphosphoS5_ENCSR000BPC_ENCFF001UOQ_ENCFF001UOP_intersect.bed,0.0
275,A549_ChIP.seq_SP1_ENCSR000BPE_ENCFF001TTP_ENCFF001TTQ_intersect.bed,0.0
276,A549_ChIP.seq_TAF1_ENCFF002CGA.bed,0.0
277,HepG2_ChIP.seq_POLR2AphosphoS5_ENCFF002CKW.bed,0.0
278,K562_ChIP.seq_CTCF_ENCFF002CLS.bed,0.0
279,Panc1_ChIP.seq_REST_ENCSR000BPK_ENCFF001UOC_ENCFF001UOB_intersect.bed,0.0
280,SK.N.MC_ChIP.seq_POLR2AphosphoS5_ENCFF002CNI.bed,0.0
281,A549_ChIP.seq_YY1_ENCFF002CGF.bed,0.0
282,A549_ChIP.seq_ATF3_ENCFF002CFG.bed,0.0
283,A549_ChIP.seq_ELF1_ENCFF002CFL.bed,0.0
284,A549_ChIP.seq_ETS1_ENCFF002CFM.bed,0.0
285,A549_ChIP.seq_USF1_ENCFF002CGE.bed,0.0
286,A549_ChIP.seq_EP300_ENCFF002CFV.bed,0.0
287,A549_ChIP.seq_FOXA1_ENCFF002CFO.bed,0.0
288,A549_ChIP.seq_GABPA_ENCFF002CFP.bed,0.0
289,A549_ChIP.seq_ZBTB33_ENCFF002CGG.bed,0.0
290,HepG2_ChIP.seq_ZBTB7A_ENCFF002CLK.bed,0.0
291,endothelial_cell_of_umbilical_vein_ChIP.seq_POLR2A_ENCFF002CLM.bed,0.0
292,endothelial_cell_of_umbilical_vein_ChIP.seq_POLR2AphosphoS5_ENCFF002CLL.bed,0.0
293,T47D_ChIP.seq_ESR1_ENCFF002CNU.bed,0.0
294,Ishikawa_ChIP.seq_CTCF_ENCFF002CGH.bed,0.0
295,SK.N.SH_ChIP.seq_TAF1_ENCFF002CNN.bed,0.0
296,H1.hESC_ChIP.seq_SP2_ENCFF002CJL.bed,0.0
297,A549_ChIP.seq_BCL3_ENCFF002CFH.bed,0.0
298,HepG2_ChIP.seq_CEBPB_ENCFF002CKD.bed,0.0
299,HepG2_ChIP.seq_CEBPD_ENCFF002CKE.bed,0.0
300,GM12878_ChIP.seq_ATF2_ENCFF002CGO.bed,0.0
301,GM12878_ChIP.seq_NFATC1_ENCFF002CHF.bed,0.0
302,GM12878_ChIP.seq_PML_ENCFF002CHM.bed,0.0
303,PFSK.1_ChIP.seq_TAF1_ENCFF002CNG.bed,0.0
304,A549_ChIP.seq_FOSL2_ENCFF002CFN.bed,0.0
305,A549_ChIP.seq_REST_ENCFF002CFU.bed,0.0
306,A549_ChIP.seq_TCF12_ENCFF002CGB.bed,0.0
307,Ishikawa_ChIP.seq_ESR1_ENCFF002CGI.bed,0.0
308,GM12878_ChIP.seq_REST_ENCFF002CHH.bed,0.0
309,GM12878_ChIP.seq_TCF3_ENCFF002CIA.bed,0.0
310,H1.hESC_ChIP.seq_ATF2_ENCFF002CIR.bed,0.0
311,H1.hESC_ChIP.seq_SP4_ENCFF002CJM.bed,0.0
312,HepG2_ChIP.seq_MBD4_ENCFF002CKQ.bed,0.0
313,HepG2_ChIP.seq_NFIC_ENCFF002CKS.bed,0.0
314,K562_ChIP.seq_PML_ENCFF002CMG.bed,0.0
315,GM12878_ChIP.seq_STAT5A_ENCFF002CHX.bed,0.0
316,A549_ChIP.seq_CREB1_ENCFF002CFI.bed,0.0
317,A549_ChIP.seq_FOXA2_ENCSR000BRE_ENCFF001TSH_ENCFF001TSI_intersect.bed,0.0
318,A549_ChIP.seq_JUND_ENCSR000BRF_ENCFF001TSW_ENCFF001TSV_intersect.bed,0.0
319,GM12878_ChIP.seq_EGR1_ENCFF002CGW.bed,0.0
320,GM12878_ChIP.seq_MTA3_ENCFF002CHE.bed,0.0
321,GM12878_ChIP.seq_RUNX3_ENCFF002CHS.bed,0.0
322,K562_ChIP.seq_TEAD4_ENCFF002CMT.bed,0.0
323,A549_ChIP.seq_SIX5_ENCFF002CFZ.bed,0.0
324,A549_ChIP.seq_SIN3A_ENCFF002CFY.bed,0.0
325,GM12878_ChIP.seq_NFIC_ENCFF002CHG.bed,0.0
326,HepG2_ChIP.seq_MYBL2_ENCFF002CKR.bed,0.0
327,HepG2_ChIP.seq_TEAD4_ENCFF002CLG.bed,0.0
328,K562_ChIP.seq_CEBPB_ENCFF002CLR.bed,0.0
329,K562_ChIP.seq_STAT5A_ENCFF002CMQ.bed,0.0
330,K562_ChIP.seq_NR2F2_ENCFF002CME.bed,0.0
331,K562_ChIP.seq_CBX3_ENCFF002CLQ.bed,0.0
332,GM12878_ChIP.seq_FOXM1_ENCFF002CGZ.bed,0.0
333,K562_ChIP.seq_TRIM28_ENCSR000BRW_ENCFF001ULW_ENCFF001ULV_intersect.bed,0.0
334,GM12878_ChIP.seq_CEBPB_ENCFF002CGU.bed,0.0
335,H1.hESC_ChIP.seq_TEAD4_ENCFF002CJR.bed,0.0
336,HCT116_ChIP.seq_EGR1_ENCSR000BRZ_ENCFF001UDT_ENCFF001UDS_intersect.bed,0.0
337,HCT116_ChIP.seq_JUND_ENCSR000BSA_ENCFF001UDZ_ENCFF001UDY_intersect.bed,0.0
338,HCT116_ChIP.seq_RAD21_ENCSR000BSB_ENCFF001UEH_ENCFF001UEG_intersect.bed,0.0
339,HCT116_ChIP.seq_SRF_ENCSR000BSC_ENCFF001UEN_ENCFF001UEM_intersect.bed,0.0
340,HCT116_ChIP.seq_CEBPB_ENCSR000BSD_ENCFF001UDP_ENCFF001UDO_intersect.bed,0.0
341,HCT116_ChIP.seq_CTCF_ENCSR000BSE_ENCFF001UDQ_ENCFF001UDR_intersect.bed,0.0
342,HCT116_ChIP.seq_SP1_ENCSR000BSF_ENCFF001UEK_ENCFF001UEL_intersect.bed,0.0
343,HCT116_ChIP.seq_SIN3A_ENCSR000BSG_ENCFF001UEI_ENCFF001UEJ_intersect.bed,0.0
344,HCT116_ChIP.seq_MAX_ENCSR000BSH_ENCFF001UEA_ENCFF001UEB_intersect.bed,0.0
345,H1.hESC_ChIP.seq_E2F6_ENCSR000BSI_ENCFF001UBC_ENCFF001UBD_intersect.bed,0.0
346,H1.hESC_ChIP.seq_MAX_ENCSR000BSJ_ENCFF001UBO_ENCFF001UBP_intersect.bed,0.0
347,SK.N.SH_ChIP.seq_JUND_ENCSR000BSK_ENCFF001UPK_ENCFF001UPJ_intersect.bed,0.0
348,SK.N.SH_ChIP.seq_TCF12_ENCSR000BSL_ENCFF001UQH_ENCFF001UQI_intersect.bed,0.0
349,SK.N.SH_ChIP.seq_YY1_ENCSR000BSM_ENCFF001UQO_ENCFF001UQN_intersect.bed,0.0
